AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ,work_notWork
14856,-20164,-2840,27.07,-7274,-8536,10007,1
20928,-5272,6856,27.21,32767,3550,-11912,1
13400,-13940,-5108,27.12,-15327,-3662,4589,1
15884,1728,2192,27.17,-12931,7146,-4603,1
12764,-8692,-36,27.12,18826,-9861,-573,1
15304,-4736,-1720,27.21,-3929,4630,5971,1
14976,-3476,-3576,27.17,-7672,5177,2599,1
17640,-5100,-6476,27.12,-2635,5356,878,1
14292,-8852,-4424,27.17,-2637,-5352,1215,1
9696,-12536,-2020,27.17,-2991,-3347,1033,1
12964,-7552,-4668,27.26,2423,3475,1336,1
15364,-8528,-4456,27.21,-1589,-2813,-4797,1
13320,-8012,-7548,27.12,-5428,-2741,-1806,1
14612,-3584,-6888,27.12,-7479,1670,1007,1
13616,-1256,-3200,27.17,-22045,6184,3415,1
14228,-268,-6692,27.17,4371,6517,2600,1
15964,-7500,-8860,27.17,2265,7202,403,1
8424,1692,1768,27.26,194,2018,-457,1
21856,-7480,6948,27.17,-15878,-635,5949,1
19836,-432,4324,27.17,-14008,7584,3415,1
5572,-32768,19172,27.07,-2843,5309,-12946,1
-7780,18652,16724,27.26,-32768,10408,12654,1
24936,11928,-11804,27.17,-25001,-13308,-5101,1
19644,19796,-1524,27.21,-191,-922,-222,1
9240,15876,-1688,27.12,-8625,-5981,-4056,1
684,17180,140,27.21,-8339,-12035,-8313,1
-2944,15016,1756,27.21,-640,-987,-6860,1
580,18436,-1712,27.12,8356,-14439,3519,1
3548,16652,-9052,27.17,16251,-16337,5826,1
-10100,19164,-5796,27.21,22489,-13490,9960,1
-8920,6748,-10204,27.12,22095,-5851,4316,1
-5380,-4456,-12844,27.26,6496,642,7658,1
-5692,264,-12132,27.21,-2574,3193,6270,1
-3272,6212,-14428,27.21,-5349,2388,8956,1
-2680,8668,-14388,27.17,751,3702,-1213,1
4060,7636,-15212,27.17,-665,4810,-6059,1
2312,3512,-15100,27.12,-247,-1767,-4842,1
3684,1548,-15628,27.21,-903,554,2310,1
2716,8336,-15136,27.21,-2561,-6148,-254,1
-3796,7300,-10352,27.26,11320,-5365,-4776,1
-2320,6452,-11852,27.21,-768,1569,-8959,1
1052,-964,-8664,27.21,12087,11740,-20660,1
10176,-4012,-5952,27.17,-216,21688,-24494,1
20708,4412,-2268,27.26,-710,17889,-6986,1
22784,3520,3608,27.17,1852,18013,963,1
19840,2468,4720,27.21,-3336,4054,10972,1
20072,3472,-2040,27.12,4412,-10656,-773,1
21896,2708,5592,27.21,10862,-6015,-5574,1
13912,-3520,9916,27.07,30016,640,32767,1
22824,-4360,12920,27.17,32767,-16315,-2051,1
15264,-4744,1020,27.12,-32581,-5641,-86,1
13760,2984,648,27.26,-1780,-13735,9436,1
13312,-2608,676,27.21,15732,-2577,-9854,1
14800,-2120,-2636,27.07,-3644,120,10546,1
19156,3808,-3204,27.07,7262,11229,-2204,1
18368,-4616,-6300,27.21,-2636,5677,-7050,1
18892,-2780,616,27.21,-4911,-7681,6855,1
16668,348,-360,27.07,-4417,-4060,1273,1
12888,-4572,-548,27.21,-14738,-1125,-4283,1
18328,-4100,-4572,27.26,9620,7101,519,1
11916,-2360,-1632,27.12,-3180,1030,-3683,1
12668,-156,-1144,27.12,513,3964,1161,1
13744,-5476,5420,27.26,-15726,-9550,3440,1
23528,524,-2660,27.17,-10714,2791,5360,1
19696,32767,-3796,27.17,-3377,9130,-24406,1
-8224,-3324,4432,27.07,-32768,18225,4069,1
26708,-26532,-4680,27.21,1083,-5189,-332,1
20508,1744,-9704,27.12,10002,-5786,6171,1
19956,3156,1392,27.12,-15064,2262,661,1
20320,5544,-272,27.26,-15671,-4519,-2322,1
17440,2268,-516,27.21,-8691,2574,-277,1
13332,2996,-516,27.21,-670,-10500,7749,1
14512,2500,-5636,27.21,-4480,-15990,668,1
15412,5496,-10712,27.26,-5356,-19282,4488,1
5820,3064,-12992,27.17,-1567,-12856,6936,1
404,3148,-10020,27.17,3727,-8522,10011,1
796,1308,-11032,27.26,-4754,1064,7575,1
8024,1160,-19652,27.21,3068,606,1228,1
4800,3908,-16148,27.26,-1042,1374,1259,1
5972,2024,-15228,27.21,5711,-2272,-2954,1
7680,-724,-18548,27.07,-3832,1340,-1592,1
5544,8796,-12472,27.26,8752,-5691,1286,1
4512,724,-10328,27.17,6449,523,-9884,1
1796,-3672,-4400,27.21,1827,13377,-16451,1
15280,-10036,-1896,27.21,13081,22584,-4423,1
20944,-11696,2948,27.17,12658,17053,-2994,1
20220,-4148,5808,27.17,-2086,4671,-3350,1
20244,-2828,4092,27.21,-2814,-6625,-5426,1
25820,4912,1532,27.21,27010,7879,6984,1
14820,-11840,8640,27.17,13061,-19438,-20973,1
12016,-2364,44,27.17,2603,1153,6556,1
17572,-5828,-6384,27.26,14455,-9500,6184,1
12740,-8688,-6056,27.26,15612,-10375,-167,1
11980,-4092,-396,27.26,-24181,3719,10171,1
21620,-14364,13328,27.17,32767,-1437,-32768,1
19992,-12884,-448,27.21,-32768,-15305,13018,1
11516,-9388,1440,27.21,32767,-8393,-6255,1
16588,-6212,6532,27.21,11612,32767,-17956,1
21476,-32768,-16284,27.21,-21257,-6859,12814,1
25944,11904,10988,27.12,-32768,20209,8899,1
18636,2936,9244,27.12,32767,9034,-24097,1
13388,-29148,8964,27.12,32767,-7523,-32768,1
22612,-12092,11332,27.21,-26201,32014,23426,1
25440,-10172,-3584,27.21,-25550,32767,1566,1
11572,-532,-2268,27.26,16531,-8794,-1236,1
19704,-5300,-1300,27.21,26928,-5875,-2030,1
25288,-8696,2044,27.35,6129,-27783,14001,1
12068,2640,1156,27.21,9347,-5322,5464,1
15124,672,0,27.21,7883,8781,-2857,1
19460,-20328,-2760,27.17,-32768,-20124,-20079,1
11160,-12568,-5448,27.12,29565,-12723,4268,1
3800,-6508,840,27.21,6401,4499,-4203,1
12084,-3324,1236,27.26,12303,14787,-7832,1
22708,-8384,-2416,27.21,11777,-17144,3457,1
16536,-9716,-2576,27.17,-9807,-17806,-1312,1
12740,-1360,96,27.26,-12015,439,6898,1
18340,-1816,-3892,27.31,14495,5589,-4791,1
18220,-18072,-540,27.31,-20808,10609,14198,1
14744,2364,-2576,27.17,-16827,25546,2710,1
15660,-3272,3552,27.31,32767,24301,8824,1
19544,-5804,8548,27.17,15923,10376,2952,1
28368,-13004,9144,27.21,-23364,-32768,28326,1
8332,-2036,8200,27.17,178,-6972,-3309,1
19476,-6768,11380,27.26,6077,32767,-1220,1
22248,-10964,-5640,27.21,1044,16884,-16235,1
10824,-1176,2568,27.17,-14946,64,-4173,1
15844,-10084,4340,27.17,15960,10736,-16771,1
18748,-5608,6316,27.21,-1848,-7380,7087,1
20276,-8216,2260,27.26,-9331,-11156,11087,1
16504,-3624,3932,27.17,-15883,-6672,10633,1
11728,-2336,4680,27.17,3500,7281,-1723,1
24472,-9216,5332,27.21,14004,22520,-8775,1
15164,-10916,-492,27.17,-29328,-6651,-9217,1
11628,8660,12056,27.21,-21992,6056,-18020,1
18996,-10624,2584,27.21,-32768,13363,1851,1
22968,-1196,3812,27.17,-28475,9856,14261,1
17420,-180,4976,27.26,26700,7133,481,1
18872,-10412,1760,27.21,1061,11589,-9096,1
17692,-7796,1064,27.26,-3476,3725,-5116,1
23248,-5584,6192,27.21,-24122,-18351,7279,1
15704,-1444,4948,27.26,5189,-9625,-4178,1
13748,-2924,3692,27.21,5094,6875,919,1
17992,-6372,1156,27.26,-3394,8586,-5545,1
18508,-116,1964,27.31,-4094,3693,-2731,1
20772,1336,2916,27.26,10480,13688,-6815,1
13660,-12220,6712,27.21,-20154,-15319,-17395,1
16044,-1856,7664,27.21,584,-6309,9385,1
15308,936,4996,27.21,13109,2560,3257,1
15868,-10344,3776,27.26,8239,1219,4616,1
19796,-5548,4416,27.21,-164,-9449,9887,1
14472,-4944,5876,27.21,-20616,-6148,2676,1
17048,964,8136,27.21,-4101,953,-45,1
16416,-11952,3612,27.21,21324,9331,-8254,1
13912,-9948,3004,27.21,-12795,1551,5742,1
